question_clean	options_formatted	correct_letter
The indicators of infective process in reproductive health practice includes the following except;	A. ESR of more than 30mm/hr. (winthrobe) | B. C-reactive protein >15mg/all | C. Basophilia of more than 3% in differential count | D. Lymphocytes consisting 45% in the differential count | E. Total white blood cell counts of 17* 10/91	C
A small for gestational age baby is defined as;	A. Below 3000gm at birth | B. Birth weight below 20th percentile | C. Birth weight below 90th percentile | D. Below 2500gm at birth | E. Below 2000g at birth	B
The following are the correct actions to take when a woman is in shock except;	A. Give first bolus of 1.V fluids over 15-20 minutes | B. Keep airway open | C. If haemorrhage run bedside clotting test | D. Give first bolus of I.V fluids over 1 hour | E. Continue I.V fluids	D
Which practices during labour supported by evidence	A. Routine episiotomies for primiparas | B. Having female relative or friend there | C. Enemas and shaving the pubis | D. Avoid drinking and feeding during labour | E. All of the above	B
The following should be considered in making a decision based on evidence-based practice except;	A. Clinical expertise | B. Patient values and preferences | C. Cost of health care | D. Best research evidence | E. All of the above	C
Which of the following is the best definition of evidence-based medicine (practice)	A. Making medical decisions only when there is adequate evidence to support them | B. Adhering strictly to the scientific evidence, despite patients’ preference | C. The conscientious, explicit and judicious best evidence in making decisions about the care of the individual patient | D. Making medical decisions that are consistent with grade A evidence | E. a and b	C
High risk choriocarcinoma is treated by:	A. Methotrexate plus external beam pelvic radiation | B. EMACO combination chemotherapy | C. Methotrexate single agent therapy | D. Methotrexate plus radical hysterectomy plus external beam pelvic radiation | E. External hysterectomy	B
The following are true of placenta praevia except;	A. The first haemorrhage is often less severe than subsequent haemorrhages. | B. Blood is often fresh and bright red | C. Type II anterior, spontaneous vaginal delivery is anticipated | D. Type Il posterior, spontaneous vaginal anticipated | E. Pain is not common feature	D
The following can be used to effectively suppress lactation for HIV mothers opting not to breastfeed after delivery.	A. Depo provera | B. Progestion | C. Frusemide | D. Carbergeline | E. Estriol	D
The following are risk factors for cancer of the cervix except:	A. Early coitarche | B. Human papilloma virus | C. Infertility | D. Multiple sexual partners | E. Presence of ulcerative genital tract disease	C
Leiomyoma is commonly associated with:	A. Intermenstrual spotting | B. Menorrhagia | C. Dyspareunia | D. Dysmenorrhoea | E. Frequency of micturition	B
An 18 years old presents with history of urinary leakage per vagina after a recent difficult labour. A dye test performed revealed clear urine in the vagina. The diagnosis is;	A. Utero- cervico vaginal fistula | B. Vesico- vaginal fistula | C. Urethral - vaginal fistula | D. Uretero-vaginal fistula | E. Rectovaginal fistula	B
The commonest site for metastatic trophoblastic disease is;	A. Vagina | B. Brain | C. Lungs | D. Ovaries | E. Rectum	C
A para 6+0 mother develops postpartum haemerrhage immediately after delivery.   All the following are correct concerning her management except;	A. Take her immediately for emergency hysterectomy | B. Start oxytocin drip | C. Cytotec use is beneficial | D. Massage of uterus is beneficial | E. Examination without anaesthesia should inform examination with anaesthesia	A
In twin pregnancy which of the following combination of fetal presentation may be complicated by interlocked twins;	A. 1st twin cephalic- 2nd twin cephalic | B. 1st twin cephalic -2nd twin breach | C. 1st twin breach- 2 twin breach | D. 1st twin breach -2nd twin cephalic | E. 1st twin cephalic -2nd twin transverse	D
The normal average baseline fetal heart rate at term is;	A. 110-150 bpm | B. 100-140-bpm | C. 120-160 bpm | D. 120-140 bpm | E. 130-150 bpm	C
A 20 years old para 0+0 at 38 weeks gestation with a B. P 160/110 multg, severe headache and one episode of convulsion one hour ago. Obsteric examination revealed a term fundal height, cephalic presentation and fetal heart rate of 144/min. The cervix is closed 2 cm long, posterior and not effaced. What would be your next plan of action?	A. Start magnesium sulphate intravenous hydralazine and prepare for emergency caesarean section delivery | B. Start magnesium sulphate then control blood pressure with I.V hydrallazine and insert postraglandin pessary. | C. Start intravenous valium, hydrallazine drip and prepare for emergency caesarean section delivery. | D. Start intravenous labetalel drip and prepare for emergency ceasarean section delivery | E. Start intravenous labetalol and insert prostaglandin pessary	A
All are normal semenalysis findings except;	A. Liquefaction by 30 minutes | B. Sperm count 18 million/ml | C. Motility 60% | D. Volume 3ml | E. Morphology 30% normal	B
A 28 years old woman presents with hirsutism, irregular cycle and obesity. Her testosterone level was mildly elevated. Which of the following is the most likely aetiology	A. Diabetes | B. Cushings syndrome | C. Sheerhans syndrome | D. Polycystic ovarian disease | E. None of the above	D
The most commonly used contraception in Kenya is:	A. Pills | B. Mesigyno | C. Jadelle | D. Depo medroxy progesterone acetate | E. IUCD	D
Which of the following is true regarding oval combined contraceptives;	A. Contains estradiol and estrone | B. Skipping four pills warrants introduction of emergency contraception(postinor) | C. Is administered for 28 days then after menses start | D. Confers antifertility effects through inhibition of ovulation | E. About 10% of users will develop hypertention.	D
The following characterises the pathophysiology of preeclampsia;	A. Vasodilation | B. Haemodilation | C. Vasospasm | D. Hyponatremia | E. Hypovolemia	C
The cutoff CD4 count below which patients should be commenced on treatment for their own health regardless of trimester is below or equal to:	A. 150 | B. 200 | C. 250 | D. 300 | E. 350	E
Which of the following is associated with malpresentation;	A. Oligohydramnios | B. Hyperthyroidism | C. Uterine fibroids | D. Primigravidae | E. Sickle cell disease	C
A 29 years old 40 weeks gestation reports to labour ward with maternal exhaustion. Examining her cervix to be 3 cm dilated and partially effaced. A decision to induce her. How would you proceed?	A. Insert a forleys catheter extra amniotic under traction then observe for labour | B. Start oxytocin drip | C. Perform artificial rupture of membranes and if clear start oxytocin drop | D. Insert prostaglandin pessary then perform artificial rupture of membranes | E. Insert misoprostol 25mg into posterior fornix then review after 4 hours	E
Which of the following is positively associated with preterm birth?	A. Bacteria vaginosis | B. Trichomonas vaginalis | C. Candidiasis | D. Herps simplex | E. Lactobacilli	A
A 30-year-old underweight a cardiotocograph (CTG) due to induction for reduced fetal movements. A drop in the fetal heart rate was observed only during the contractions and both were mirror images. This phenomenon is referred to as;	A. Early deceleration | B. Late deceleration | C. Variable deceleration | D. Early acceleration | E. Late acceleration	A
The Jadelle implant confers contraception after insertion for a duration of;	A. Three years | B. Four years | C. Two years | D. Five years | E. Eight years	D
The following statement is true concerning ectopic pregnancy	A. Absence of vaginal bleeding excludes diagnosis | B. Presence of vaginal shoulder tip pain indicates rupture | C. Characteristic feature is marked vaginal bleeding | D. Symptoms mainly manifest at 16 weeks gestation | E. Is mainly diagnosed by beta HCG assay	B
The following contraceptive is contraindicated in patients with stage iv HIV disease.	A. Combined oral contraceptive | B. Progestin only contraceptive. | C. Depot medroxy progesterone acetate | D. Levornogestral implant | E. Intrauterine contraceptive Device (IUCD)	E
The following is known to prevent congenital neural tube defects	A. Vitamin A | B. Vitamin B | C. Vitamin B12 | D. Folic acid | E. Folinic acid	D
When conducting fetal kick chart, the normal number of kick chart is;	A. Kick charts in twelve hours | B. Ten kick charts in twelve hours | C. Ten rolling movement in twelve hours | D. All of the above | E. None of the above	B
A mother at 36 weeks gestation is confirmed to have fetal growth restriction. The management will be;	A. Start mother on parenteral feeds | B. Increase the dose of maternal nutritional supplements | C. Administer high-calorie diet to the mother for the next four weeks | D. Deliver the baby | E. None of the above	D
All of the following is associated with pregnancy except;	A. Hemorrhoids | B. Ptyalism | C. Pica | D. Hypernatreamia | E. Constipation	D
The stretch marks noted in the abdominal skin and breast during pregnancy is referred to as;	A. Striae albicantes | B. Striae gravidavum | C. Malasma | D. Linea alba | E. Linea nigra	B
A 28-year-old presents with a pap smear result reaching HSIL. Which of the following is the most appropriate management strategy?	A. Exam and a pap smear in one year's time | B. Colposcopy with endocervical curetting for histology | C. Cryotherapy | D. Loop electrosurgical excision procedure (LEEP) OR cervical conization | E. Hysterectomy	B
Which of the following investigations would be most helpful in assessing the extent of ovarian cancer?	A. MRI of the abdomen and pelvis | B. CT scan of the abdomen and pelvis | C. Chest X-ray | D. Ca 125 | E. Intravenous pyelography	B
A 32-year-old Para 2+1 presents with one year history amenorrhea following evacuation of the uterus due to septic incomplete abortion. Her hormonal profile is normal. What is the likely diagnosis	A. Premature menopause | B. latrogenic ovarian failure | C. Hypothalamic pituitary amenorrhea | D. Sheehan's syndrome | E. Asherman's syndrome	E
A Para 1+1 with no living children has a D & C for a partial molar pregnancy. The couple would like to conceive as soon as possible. Which of the following is the appropriate recommendation to them?	A. Attempt pregnancy 2 months after D&cx | B. Attempt pregnancy once beta-HCG normalizes | C. Avoid pregnancy for 3 years | D. Use Depo Provera contraceptive for one year then conceive | E. Attempt conception 6 months after a negative beta HCG level	E
The most common site for an ectopic pregnancy is;	A. Fimbrial | B. Cornu | C. Isthmus | D. Ampulla | E. Ovarian	D
The partograph is used to prevent all the following EXCEPT:	A. Delayed third stage of labour | B. Fetal distress | C. Maternal death | D. Puerperal sepsis | E. Obstructed labour	D
Which of the following explanations would justify delayed cord clamping in the third stage of labour?	A. To facilitate delivery of the placenta | B. To prevent birth asphyxia | C. To facilitate resuscitation of the baby | D. To improve bonding between the mother and her baby | E. To prevent anaemia in the baby	E
Which of the following diameters is associated with full flexion of the fetal head at engagement?	A. Submentobregmatic diameter | B. Mentovertical diameter | C. Suboccipitobregmatic diameter | D. Occipitofrontal diameter | E. Suboccipitofrontal diameter	C
The loading dose of magnesium sulfate is given via	A. I.V over 5 minutes, followed by deep I.M injection into each button | B. I.V over 5 minutes followed by deep I.M injection into one buttock | C. Simultaneous I.V and I.M injections | D. I.V bolus, followed by deep I.M injection into each buttock | E. a and c	A
Diastolic blood pressure 90 mmitg or more before 20 weeks of gestation is symptomatic of;	A. Mild pre-eclampsia | B. Chronic hypertension | C. Superimposed mild pre-eclampsia | D. Pregnancy-induced hypertension | E. All of the above	B
Regarding Fertilization & implantation:	A. Fertilization occurs in the inner third of the fallopian tube. | B. The sperm head penetrates through the corona radiata & zona pellucida while the tail remains outside. | C. The 2nd meiotic division is completed before fertilization. | D. Implantation occurs at the morula stage. | E. The trophoblast invades the endometrium & differentiates into an outer cytotrophoblast & an inner syncytiotrophoblast	B
Mrs. Aketch came to the antenatal clinic at 32 weeks gestation feeling dizzy and weak. Laboratory investigations revealed she has anaemia. The MOST likely type of anaemia would be:	A. Iron deficiency anaemia | B. Physiological anaemia | C. Anemia due to ascaris lumbricoides | D. Megaloblastic anaemia | E. Haemolytic anaemia	A
When performing abdominal aortic compression to control postpartion hemorrhage, the point of compression	A. Just below and slightly to the right of the umbilicus | B. Just below and slightly to the left of the umbilicus | C. Just above and slightly to the right of the umbilicus | D. Just above and slightly to the left of the umbilicus | E. None of the above	D
Immediate postpartum hemorrhage can be due to, except;	A. Atonic uterus | B. Trauma to the genital | C. Retained placenta | D. All of the above | E. Administration of tranexamic acid	E
If manual removal of the placenta is performed	A. Give ergometrine prior to the procedure | B. Give antibiotics 24 hrs after the procedure | C. Place one hand in the uterus and use the other hand to apply traction on the cord | D. Place one hand in the uterus and one hand on the abdomen to provide counter traction on the uterine fundus | E. All of the above	D
If the uterus is inverted following childbirth all of the following are true except;	A. The uterine fundus is felt on abdominal palpation | B. There may be slight or intense pain | C. The inverted uterus may be apparent at the valve | D. The uterine fundus is not felt on abdominal palpation- | E. None of the above	A
When diagnosing iron deficiency anaemia which one of the following applies?	A. Serum ferritin is more than 12 g/dL | B. Lead is less than 20 g/dL. | C. Free erythrocyte protoporphyrin greater than 35 g/dL. | D. B12, B6, folate levels are increased. | E. Serum iron binding capacity may double	E
Tears of the cervix, vagina or perineum should be suspected when there is immediate postpartum hemorrhage and;	A. A complete placenta and a contracted uterus | B. An incomplete placenta and a contracted uterus | C. A complete placenta and an atonic uterus | D. An incomplete placenta and an atonic uterus | E. All of the above	A
Disseminated intravascular coagulopathy is suspected following when bedside clotting test is done if;	A. Bleeding fails to stop within 7 minutes from a 1mm incision made on the inner aspect of a forearm | B. A clot fails to form within 7 minutes when calcium gluconet is added to a 3ml test tube of blood | C. A clot forms within 7 minutes | D. A clot fails to form after 7 minutes or a soft clot form that breaks down easily | E. Clot form but pale in colour.	D
The MVA procedure is complete when	A. The wall of the uterus feels smooth | B. The vacuum in the syringe decreases | C. Red or pink foam, but no more tissue is aspirated | D. The uterus relaxes | E. When the patient feels minimum pain?	C
Mrs Musa is a postnatal mother who is showing a lot of interest in taking care of her baby. Regarding the psychological phases of puerperium, she is in the:	A. Taking-in phase | B. Taking-on phase | C. Taking-hold phase | D. Letting-go phase | E. Anxiety phase	C
The following are findings of fetal hydrops except	A. Scalp edema | B. Ascites | C. Pericardial effusion | D. Enlarged bladder | E. Pleural effusion	D
Which one of the following interventions is NOT advised during vaginal term delivery of a patient with mitral stenosis?	A. Ergometrine injection. | B. Frusemide (Lasix) injection. | C. Vacuum delivery | D. Oxygen by mask | E. Oxytocin injection	A
Which of the following criteria is not used in the WHO prognostic scoring system for choriocarcinoma?	A. Age of the patient | B. Serum levels of beta hCG. | C. Patient's ABO blood group | D. Metastases to the lungs | E. Size of largest tumour	C
One of the following statements is correct about vulval and vaginal conditions	A. Desquamative inflammatory vaginitis occurs mainly in the postmenopausal women. | B. The causative organism in Toxic Shock Syndrome is streptococcus | C. Vaginal discharge is the commonest presentation of foreign body in the vagina amongst toddlers | D. Vulval warts in 3rd trimester is treated by cauterization to allow for a vaginal delivery. | E. Stab incision followed by drainage of pus, is the advocated treatment of Bartholin's abscess	C
A pregnant woman who has severe anaemia typically presents with	A. Wheezing | B. Rhonchi | C. Dyspnoea | D. Spider naevi | E. Microscopic haematuria	C
The information obtained from the antenatal history can help the provider	A. Plan for child birth | B. Identify existing problems | C. Identify health education and counselling needs | D. All of the above | E. None of above	D
The preferred fetal dimensions for estimating gestational age at 36 to 38 weeks is	A. Femur length | B. Chest circumference | C. Abdominal circumference | D. Biparietal diameter | E. Crown-rump length	A
The following statements are TRUE about vomiting in pregnancy, EXCEPT:	A. May require admission to hospital | B. Is commonest in the third trimester | C. May be associated with multiple pregnancy | D. May be associated with trophoblastic disease | E. May be associated with urinary tract infection	B
Which of the following statements is INCORRECT?	A. Oral contraceptive pills delay the onset of menopause. | B. Premature menopause is cessation of menstruation before the age of 40 | C. Menopause is the final menstruation which occurs during the climacteric | D. Pre-menopause is the time during climacteric when the menses become irregular | E. Climacteric is the phase during which a woman passes from the reproductive stage to non-reproductive stage	C
Which of the following statements is correct regarding post-menopause?	A. FSH and LH are characteristically low | B. A fibroid uterus tends to grow bigger | C. The endometrium is characteristically thick on Ultrasonography | D. The women have a tendency to get fractures | E. Genital atrophy hardly ever occurs	D
A 17-year-old, pregnant woman was brought to maternity ward, because was found to have generalized convulsion at the central market. O/E: (positive finding) unconscious, pale +, BP 156/100 mmHg, hyperreflexia, urine dipstick for protein +; F/L 35 cm. V/E Cervix effaced, dilated 4 cm, station –1. How do you manage this patient?	A. General measure, prophylactic antibiotic and immediate C/section. | B. General measures, antihypertensive, MgSO4, resuscitation of the patient, foetal assessment and emergency c/section. | C. General measures, antihypertensive, anticonvulsant and augmentation. | D. General measures, BP control, fit control, mother stabilization and conservative management. | E. None of the above is true	B
A 56-year-old lady presented with a small cervical lesion which bled to touch, she reported that she had difficulty closing her left eye. She had nausea and loss of appetite. She had a staring gaze and paresis on the right. No other pelvic lesions were found.	A. This is Ca Cervix stage four | B. The condition can be diagnosed by ultrasound | C. The diagnosis can be suspected from the previous history and confirmed by Laboratory investigations | D. She has Burkitt’s lymphoma | E. None of the above	A
Emily is on Mg SO 4 post-delivery for prevention of eclampsia. Which of the following is NOT a feature of Mg SO 4 toxicity?	A. Depressed respiration | B. Brisk tendon reflexes | C. Diminished tendon reflexes | D. Reduced urine output | E. None of the above	B
Emily is a primigravida at 37 weeks. She is diagnosed to have pre-eclampsia with severe features. Her BISHOP score is 7 and fetal BPP 10/10. Regarding her delivery plan:	A. Induction of labor should be commenced as well as Magnesium sulfate. | B. Emergency cesarean section should be done after steroids administration | C. Emergency cesarean section should be done immediately | D. Induction of labor should be done after administration of Magnesium sulfate (MgSO4) | E. None of the above	A
Regarding management of Rose what is the major mechanism of action of Low molecular weight heparin?	A. Thrombolysis | B. Anti-inflammatory | C. Anti-thrombin | D. Anti-platelet | E. None of the above	C
Rose is a primigravida at 24 weeks gestation. Her BMI is 32. She presents with right calf pain and swelling. Which of the following statements regarding her condition is TRUE?	A. An elevated D-Dimer is diagnostic | B. Real time ultrasonography is the investigation modality of choice. | C. The drug of choice is Warfarin | D. Hospitalization is not a risk factor of her presentation | E. None of the above	B
Aria is a 24-year-old para 1+0 at 14 weeks, she had a preterm birth with neonatal demise in the previous pregnancy. She has had transvaginal cervical scan indicating a cervical length of 2.4 cm. She is informed of risk of preterm labor later during this pregnancy. Regarding her management, which of the following is appropriate?	A. Strict bed rest, oral Salbutamol and Pheobarbitone | B. Avoidance of sexual intercourse | C. Micronized per vaginal progesterone up to 36 weeks | D. Use of Ascard (Aspirin 75mg) once daily up to 28 weeks | E. All of the above	C
During fetal surveillance:-	A. In late decelerations of fetal heart rate, the peak of the contraction occurs after the nadir of the deceleration | B. Fetal heart rate increases with increasing gestation | C. Placental grading is one of the markers of the biophysical profile (BPP) | D. Fetal heart rate accelerations of 15 bpm above baseline rate are a nonreassuring finding | E. An early deceleration of the fetal heart rate is a normal finding	E
In the Kenyan protocol for the prevention and treatment of malaria in pregnancy, which of the following statements is TRUE?	A. Sulfadoxine Pyrimethamine (SP) should not be given concomitantly with antiretrovirals | B. The recommended treatment for uncomplicated malaria in the first trimester is a three-day course of artemether lumefantrine (AL) | C. Dihydroartemisinin Piperaquine may be used as IPTp for those who are allergic to sulfur | D. Sulfadoxine - Pyrimethamine (SP) for IPTp should be given concomitantly with IFAS for prevention of malaria and anaemia in pregnancy. | E. The dose of IV quinine for the treatment of severe malaria in pregnancy, should be adjusted in patients with renal insufficiency	D
When a patient presents with cord prolapse, which of the following statements is   INCORRECT?	A. Funic presentation refers to the cord being below the presenting part, with intact membranes and not palpable on digital vaginal exam. | B. If the cord is pulsatile, a rapid cesarean section is the best management for overt prolapse. | C. Occult prolapse may be overcome by appropriate positioning of the patient | D. A full bladder may avert bad outcomes, | E. Avoiding early ARM in patients with high presenting part is advised to prevent cord prolapse.	A
A 46 years old nulliparous female presents to a fertility clinic with desire to conceive. Her menses have in the recent past been widely spaced and she occasionally experiences hot flushes. A pelvic ultrasound done is reported as normal. Which of the following tests is a useful investigation for ovarian reserve?	A. FSH:LH ratio | B. Anti-Mullerian Hormone | C. Estradiol level | D. LH levels | E. None of the above	B
Violet, a 36-year-old para 0+2 presents with symptoms innkeeping with Hyperemesis gravidarum. Investigations reveal a uterine snow-storm appearance and hyperthyroidism. Which of the following will explain her presentation?	A. Complete Molar pregnancy | B. Partial molar pregnancy | C. Grave's disease | D. Hashimoto's disease | E. None of the above	A
Female sexual arousal disorders are defined primarily in terms of a deficiency in a physical or psychological response, and as a result may be caused by a range of physical or psychological factors, including:	A. Hormone imbalance | B. Diabetes | C. Medications being taken for other disorders | D. All the above | E. None of the above	D
You are called to review Maria, a 17-year-old who has just delivered a 3.9 kg baby and subsequently developed PPH. You perform a quick assessment and find her to have a tear extending from the vagina, to involve the perineal muscles and the anal sphincters (internal and external) without involvement of the anorectal mucosa. Which of the following statements is true about her?	A. She disobeyed the midwives hence she suffered the tear | B. Secondary repair should be done after 24 hours | C. She suffered a 3rd degree tear | D. She can be repaired perfectly by an intern on duty | E. All of the above	C
Which of the following statements is correct concerning operative abdominal delivery?	A. A hemogram, renal function test and grouping/crossmatch are mandatory tests before a caesarian section is done | B. Maternal morbidity and mortality from a caesarian section is not higher than vaginal | C. There is documented evidence that a classical uterine incision is better than a lower uterine segment transverse incision | D. There is no role in prophylactic antibiotics in elective caesarian sections | E. The sub-umbilical midline incision is the most popular abdominal entry technique in JOORTH	A
A 32-year-old female, known hypertensive patient on losartan/hydrochlorothiazide, presents for pre-conception care, ALL of the following are advised EXCEPT?	A. Folic Acid supplementation | B. Quit alcohol and cigarette smoking | C. Change blood pressure medication to Methyldopa | D. Encourage her to take liver at least three times a week to improve iron stores | E. Advise her to start ANC when she learns that she is pregnant.	D
In the consideration, evaluation and management of persistent breech presentation:	A. When the estimated fetal weight is less than 1500 gms. vaginal delivery is usually without risk | B. External Cephalic Version may be offered at 28 weeks with the aim of a consequent vertex delivery | C. A well-flexed fetal neck is necessary for a vaginal breech delivery | D. The fetal bisacromial diameter is smaller than the intertrochanteric diameter | E. The Lovset maneuver is used to overcome head entrapment.	C
Which of the following is the most frequent combination of twin presentations?	A. A. First cephalic, second breech | B. B. Cephalic and transverse lie | C. C. Both breech | D. D. Both cephalic | E. none	D
What is the target age for HPV vaccination for girls?	A. a. 9 to 10 years | B. b. 11 to 12 years | C. c. Less than 15 years | D. d. 9-14 years | E. e. 13 to 15 years	D
Which one of the following is not a risk factor for cervical cancer?	A. A. Smoking | B. History of genital warts | C. diabetes | D. micronutrient deficiency | E. HIV	D
Where are uterine fibroids typically located?	A. subserosal | B. submural | C. intramural | D. any of the above | E. none of the above	D
Metformin use in the management of Polycystic Ovary Syndrome offers the following benefit(s)	A. A. Decline in insulin levels | B. b. Increase in insulin sensitivity | C. c Decrease in serum lipid levels | D. d. Reduced risk of miscarriage | E. e All the above	E
Which of the following metabolic disorders may occur in Polycystic ovary syndrome?	A. A. Dyslipidaemia | B. B. Hyperinsulinemia | C. C. Cardiovascular disease | D. d. Insulin resistance | E. e. All the above	E
Ultrasound features of Polycystic Ovary Syndrome include all of the following except	A. A. Volume of each ovary more than 10cc | B. b. Different sizes of follicles scattered throughout the ovary | C. C. Increased stroma | D. D. Follicles peripherally arranged like beads | E. E. Follicles measure 2-9mm in diameter	B
About Polycystic Ovary Syndrome, the following are correct except	A. a. It is a Reproductive Metabolic Syndrome | B. b Because elevated serum androgen is the most consistent feature, making the diagnosis necessarily requires the measurement of serum testosterone, FSH and LH levels, | C. c Infertility occurs as a result anovulation | D. d. The risk of Ovarian Hyperstimulation Syndrome (OHSS) is high with both ovulation induction and controlled ovarian hyperstimulation | E. e Weight loss is an effective first line treatment option	B
It is currently recommended that women with Type I diabetes having preconception care should receive the following advice	A. A All oral hypoglycaemic agents should be discontinued during preconception care | B. B. Women should continue contraception until the woman and her partner feel her blood glucose levels are under control | C. C. All women should have a retinal assessment to determine the presence or otherwise of a retinopathy | D. D. Preconception care will reduce their risk of having macrosomic babies | E. E Preconception care reduces the risk of progression of retinopathies	C
Which of the following is correct about diabetic ketoacidosis (DKA) in pregnancy?	A. A It is not harmful for the fetus | B. B. A continuous CTG fetal tracing is needed to pick an early fetal compromise as resolution of the DKA may take a long time | C. C. May be precipitated by interruption of insulin treatment rather than starvation | D. D. A viable fetus should be delivered once DKA is resolved | E. E DKA may occur in the presence of euglycemia	E
Nausea, anxiety and palpitations in a pregnant woman with diabetes	A. A.Should be regarded as normal pregnancy symptoms | B. B. Requires an ECG test | C. C Should be treated with anti-emetics | D. D. Should be treated with Insulin | E. E Requires a random blood sugar test	E
A probable significant aetiology of congenital anomalies in diabetic pregnancies is:	A. A Fetal insulin | B. B. Hyperglycaemia | C. C. Hyperketonaemia | D. D. Transplacental passage of insulin | E. E Genetic factors	B
Which of the following risks is the highest in women with sickle cell disease complicating pregnancy	A. A Low birth weight | B. B Fetal growth restriction | C. C. Perinatal mortality | D. D. Preeclampsia | E. E Maternal mortality	E
Pregnant women with sickle cell disease are at an increased risk of	A. A. Antepartum hemorrhage | B. B. Wernicke's encephalopathy | C. C. Infections | D. D. Polyhydramnios | E. E. Fetal hydrops	C
Which of the following is true regarding sickle cell disease in pregnancy?  i Maintaining an sp 02 of at least 90% is required throughout pregnancy   ii There is a lower risk of sickle cell crisis during the puerperium  iii Vaginal delivery is permissible	A. A. I, II and III | B. B. I and Ill only | C. C. Il and Ill only | D. iii only | E. i only	B
Which of the following statements is not true regarding pathophysiology of stress incontinence	A. A Loss of the vaginal backboard support to the urethra leads to urethral hypermobility | B. B Loss of the vaginal backboard support to the urethra leads to intrinsic sphincter deficiency | C. C Damage to the striated urogenital sphincter and/or the vascular submucosal tissues causes intrinsic sphincter deficiency | D. D The anterior vaginal wall gains stability through its lateral attachment to the levator ani muscles and the arcus tendinous fasciae pelvis (ATFP) | E. E Urinary continence requires a well vascularized urethral submucosal tissue, a functioning straited urogenital sphincter and an intact vaginal wall support.	B
The following are primary conditions associated with the obstructed labour injury complex' except	A. A. Vesico vaginal fistula | B. B. Lumbo-sacral plexus injury | C. C Recto-vaginal fistula | D. D. Genital tract injuries | E. E. Urine dermatitis	E
If a woman develops a fistula during a prolonged or obstructed labor, the likelihood that she will also have had a stillbirth with that birth is	A. 60% | B. 15% | C. 95% | D. 70% | E. 50%	C
Pathways to primary prevention of obstetric fistula include all of the following EXCEPT	A. A Adolescent and maternal nutrition | B. B Education and empowerment of women | C. C. Ready access to high quality emergency obstetric care | D. D Delaying marriage and child bearing | E. E.  Childhood immunization and prevention of infectious diseases in childhood	A
Post-repair counselling for women who have had fistula surgery includes recommendations to;	A. A Abstain from genital sexual relations for three months | B. B. Become an advocate in her community for prevention of obstetric fistula | C. C Plan for caesarean section for the next birth | D. D. Correct myths and misconceptions about causes of obstetric fistula | E. E All of the above	E
Possible complications of fistula surgery include all of the following EXCEPT	A. A Post-operative intra vesical haemorrhage | B. foot drop | C. C Blockage of urinary catheter and distension of bladder | D. D Small bladder syndrome | E. E Vaginal scarring and stenosis	B
The following gynecologic procedure or procedures can be performed with an IUD in place:	A. A. Endometrial biopsy | B. B. Colposcopy | C. C Cervical ablation or excision | D. endocervical sampling | E. E. All of the above	E
The primary mechanism of a contraceptive implant is:	A. A. Suppression of ovulation | B. B Thickening of cervical mucus | C. C. Alteration of the endometrial lining | D. D. Mechanically blocks implantation | E. E Prevents fertilization	A
Insertion of an IUD or an implant may occur at what point in the menstrual cycle	A. A Three days before the start of menstruation | B. B. During menses | C. C. Any time during the menstrual cycle | D. D in the middle of the cycle | E. E First week of the menstrual cycle	C
The Copper IUD	A. A it is considered a hormonal contraception | B. B Has similar contraception efficacy as sterilization | C. C associated with atypical endometrial hyperplasia | D. D. Frequent cause of ectopic pregnancy | E. E Can be administered by any health cadre	B
The following predispose to developing ovarian hyperstimulation except	A. young age | B. previous OHSS | C. SLE | D. PCOS | E. obesity	E
Assisted reproductive technology include the following except	A. a in-vitro fertilization | B. b. intrauterine insermination | C. c gamete intrafallopian transfer | D. d. preimplantation genetics | E. e zygote intrafallopian transfer	B
Frozen embryos	A. a are stored in a specialised deep freezer | B. b are stored at o degrees | C. c. are stored in liquid nitrogen | D. d. are stored in liquid argon | E. e are stored in liquid carbon	C
Regarding surrogacy	A. a the fetus and surrogate must have the same blood group | B. b. traditional surrogacy is a common practice in ghana | C. c the surrogate and the fetus are not genetically related | D. d is ilegal in ghana | E. e delivery is through ceasarean section	A
Semen analysis	A. A coitus interruptus is the prefered method of specimen collection | B. B morphology of 6% is normal | C. C volume of 2ml is normal | D. D abstinence of 4weeks is recommended | E. E pH of 4 is normal	C
Induction of labour between 41 and 42 weeks for prolonged pregnancy:	A. Prevents approximately one perinatal death for every 500 women Induced | B. B) Increases the caesarean section rate | C. C) Increases the rates of meconium aspiration syndrome | D. D) Increases the rates of instrumental delivery | E. (E) Should be offered at 41 weeks +5 days	A
The following are recommended for the management of prolonged pregnancy	A. (A) Drinking coconut juice | B. (B) Sexual intercourse | C. C) Regular nipple stimulation | D. membrane sweeping | E. amniotomy	D
The following are accepted indications for induction of labour	A. A) Macrosomia | B. B) Previous caesarean section | C. intratuterine fetal death | D. D) History of precipitate labour | E. E) Maternal request	D
Regarding induction of labour	A. A) An intravenous oxytocin infusion is recommended as the preferred method of induction of labour | B. B) Women with one previous caesarean section have overall approximately a five per cent risk of uterine rupture if they are induced | C. C) uterine hyperstimulation occurs during an oxytocin infusion delivery by caesarean section is indicated immediately | D. D) Women receiving an oxytocin infusion are at risk of developing hypernatraemia | E. E) A Bishop's score greater than 5 is predictive of a successful induction	E
Which of the following factors is associated with a higher chance of successful induction?	A. nulliparity | B. ruptured membranes | C. fetal macrosomia | D. short stature | E. obesity	B
